source_row,meter_number,installation_number,agreement_number,value,location,crs,source_x,source_y,latitude,longitude,bina_id,bina_value,bina_layer,method,meters,confidence,overlay,action,reason,hitIds
3355,1430482,449219,44767612,BAYLAN_LORA_W,POINT (417056.694400411 4255803.0696115),EPSG:5258,417056.694400411,4255803.0696115,38.43132803091807,38.05008380910115,,,,,,,,skip,NO_BUILDING_CANDIDATE,
3360,1435815,449304,44767576,BAYLAN_LORA_W,POINT (442084.806414285 4248031.27706618),EPSG:5258,442084.806414285,4248031.27706618,38.36329207690722,38.337338453469805,,,,,0.0012106678521480762,,,skip,AMBIGUOUS_BUILDING,701|4065|4071|4073|4078|4085|4091|4099
3364,1430594,449851,44767721,BAYLAN_LORA_W,POINT (428184.203406156 4241307.9311159),EPSG:5258,428184.203406156,4241307.9311159,38.30172241748694,38.17898606174663,5318,YILDIZLAR 4.ETAP DB-10,Maks_Bina,inside,0.000034775924738146854,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5318
3365,1430992,449853,44767740,BAYLAN_LORA_W,POINT (427631.576590957 4241144.53471241),EPSG:5258,427631.576590957,4241144.53471241,38.30020617576364,38.17268563422931,5380,YILDIZLAR 4.ETAP DB-26,Maks_Bina,inside,0.000029715198414566687,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5380
3369,1428906,449787,44767787,BAYLAN_LORA_W,POINT (428673.81329327 4241696.28491227),EPSG:5258,428673.81329327,4241696.28491227,38.30525971425289,38.18454369873283,5396,YILDIZLAR 4.ETAP DC-6,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5396
3371,1429585,449371,44767633,BAYLAN_LORA_W,POINT (428293.79216901 4241147.78913601),EPSG:5258,428293.79216901,4241147.78913601,38.300288634642804,38.18025501994747,5369,YILDIZLAR 4. ETAP GB-6,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5369
3372,1430076,448976,44767636,BAYLAN_LORA_W,POINT (428444.88040041 4240980.37631131),EPSG:5258,428444.88040041,4240980.37631131,38.29879265088136,38.18199903102957,5328,YILDIZLAR 4.ETAP DB-20,Maks_Bina,inside,0.0000018164917588814325,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5328
3375,1430587,449833,44767580,BAYLAN_LORA_W,POINT (428524.685502671 4241344.24916036),EPSG:5258,428524.685502671,4241344.24916036,38.3020767440751,38.18287449095757,5339,YILDIZLAR 4. ETAP DC-3,Maks_Bina,inside,0,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5339
3381,1435753,444451,44767795,BAYLAN_LORA_W,POINT (442084.806414285 4248031.27706618),EPSG:5258,442084.806414285,4248031.27706618,38.36329207690722,38.337338453469805,,,,,0.0012106678521480762,,,skip,AMBIGUOUS_BUILDING,701|4065|4071|4073|4078|4085|4091|4099
3382,1430717,449313,44767785,BAYLAN_LORA_W,POINT (427736.262498863 4241209.48410822),EPSG:5258,427736.262498863,4241209.48410822,38.30079966666516,38.17387565121006,5360,YILDIZLAR 4. ETAP DC-24,Maks_Bina,inside,0.00003153152210451317,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5360
3389,1430875,451853,44768070,BAYLAN_LORA_W,POINT (428375.48351333 4241413.58564436),EPSG:5258,428375.48351333,4241413.58564436,38.30268942736513,38.181161912217085,5312,YILDIZLAR 4.ETAP DB -4,Maks_Bina,inside,0.000028582716045002573,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5312
3393,1431094,449378,44767852,BAYLAN_LORA_W,POINT (427932.80487181 4241240.88643352),EPSG:5258,427932.80487181,4241240.88643352,38.30109833668352,38.17611912363807,5376,YILDIZLAR 4. ETAP GB-13,Maks_Bina,inside,0.000016823298553995736,high,,skip,METER_ALREADY_IN_OTHER_BUILDING,5376
