source_row,meter_number,installation_number,agreement_number,value,location,crs,source_x,source_y,latitude,longitude,bina_id,bina_value,bina_layer,method,meters,confidence,overlay,action,reason,hitIds
12181,40036184,460763,44782803,POLIMETER_LORA_W,POINT (438303.858517391 4245326.18957644),EPSG:5258,438303.858517391,4245326.18957644,38.33867198645729,38.29431658770502,403,BTIC1-1,P_KONUT_DÜKKAN_MULTIPOLYGON [365 adet],inside,0.0018523849621483106,high,existing_bina_bilgi,insert,,403|4814
12183,40005273,462216,44796986,POLIMETER_LORA_W,POINT (442368.938388206 4246704.3907613),EPSG:5258,442368.938388206,4246704.3907613,38.35135761791251,38.340697682980064,4048,T1-09,RYA_MER_37_MULTIPOLYGON [1 adet],inside,0.0000345053071444191,high,,insert,,4048
12184,640018822,464998,44796989,POLIMETER_LORA_W,POINT (438799.322404544 4248114.53639542),EPSG:5258,438799.322404544,4248114.53639542,38.36382360232443,38.29974147959276,2376,B5,RYA_MER_18_MULTIPOLYGON [1 adet],inside,0.00000695498866979596,high,,insert,,2376
12185,40004082,444009,44796991,POLIMETER_LORA_W,POINT (427963.111019861 4242426.68710218),EPSG:5258,427963.111019861,4242426.68710218,38.3117823320497,38.176344759161104,5448,DB 20,Maks_Bina,inside,0,high,,insert,,5448
12186,640017539,464981,44797003,POLIMETER_LORA_W,POINT (438753.008653463 4248177.06979589),EPSG:5258,438753.008653463,4248177.06979589,38.364383740898155,38.299206162467435,2374,B3,RYA_MER_18_MULTIPOLYGON [1 adet],inside,0,high,,insert,,2374
12189,40016803,464094,44797015,POLIMETER_LORA_W,POINT (438743.465584693 4248116.19948101),EPSG:5258,438743.465584693,4248116.19948101,38.36383476483031,38.29910226527263,2400,C1-3,RYA_MER_18_MULTIPOLYGON [1 adet],inside,0,high,,insert,,2400
12190,40016100,464096,44797100,POLIMETER_LORA_W,POINT (438852.942869373 4247992.88354924),EPSG:5258,438852.942869373,4247992.88354924,38.36273140834907,38.30036551186486,2382,C2-5,RYA_MER_18_MULTIPOLYGON [1 adet],inside,0.000008561812068908291,high,,insert,,2382
12193,640003005,469281,44797062,POLIMETER_LORA_W,POINT (443499.410636181 4246582.28328167),EPSG:5258,443499.410636181,4246582.28328167,38.350329650735254,38.353639352717366,2895,A13,RYA_MER_27_MULTIPOLYGON [1 adet],inside,0.00005749624599215613,high,,insert,,2895
12194,640007541,449666,44797075,POLIMETER_LORA_W,POINT (443299.687249605 4246794.45869439),EPSG:5258,443299.687249605,4246794.45869439,38.35222834812219,38.351337623524465,2906,D2B,RYA_MER_27_MULTIPOLYGON [1 adet],inside,0,high,,insert,,2906
12195,40016905,462215,44797115,POLIMETER_LORA_W,POINT (438895.450018113 4248191.4152923),EPSG:5258,438895.450018113,4248191.4152923,38.364522695857985,38.30083463441213,2373,B2,RYA_MER_18_MULTIPOLYGON [1 adet],inside,0,high,,insert,,2373
12198,640003891,466716,44797014,POLIMETER_LORA_W,POINT (442368.938388206 4246704.3907613),EPSG:5258,442368.938388206,4246704.3907613,38.35135761791251,38.340697682980064,4048,T1-09,RYA_MER_37_MULTIPOLYGON [1 adet],inside,0.0000345053071444191,high,,insert,,4048
12200,640005460,463945,44797052,POLIMETER_LORA_W,POINT (438089.874600541 4245562.9235948),EPSG:5258,438089.874600541,4245562.9235948,38.340789752951665,38.29184844212648,885,B1,P_KONUT_MULTIPOLYGON [727 adet],inside,0.000013807583904408545,high,same_name_primary_layer,insert,,885|4806
12201,640006066,455004,44797064,POLIMETER_LORA_W,POINT (443296.945726482 4246612.41032324),EPSG:5258,443296.945726482,4246612.41032324,38.35058825093251,38.35132089203204,1216,D4B,P_KONUT_MULTIPOLYGON [727 adet],inside,0,high,existing_bina_bilgi,insert,,1216|2910
12202,640016908,464580,44797065,POLIMETER_LORA_W,POINT (438852.942869373 4247992.88354924),EPSG:5258,438852.942869373,4247992.88354924,38.36273140834907,38.30036551186486,2382,C2-5,RYA_MER_18_MULTIPOLYGON [1 adet],inside,0.000008561812068908291,high,,insert,,2382
12203,640007220,455003,44797068,POLIMETER_LORA_W,POINT (442480.250414553 4246640.41028319),EPSG:5258,442480.250414553,4246640.41028319,38.35078842425812,38.341976236256365,1181,T1-13,P_KONUT_MULTIPOLYGON [727 adet],inside,0.0000343691314696006,high,same_name_primary_layer,insert,,1181|4043
12204,640035776,463949,44797114,POLIMETER_LORA_W,POINT (434665.717668595 4243706.44141921),EPSG:5258,434665.717668595,4243706.44141921,38.32382348821759,38.252856373588834,258,E1,RYA_MER_60_MULTIPOLYGON [1 adet],inside,0,high,,insert,,258
12206,640038958,462456,44797192,POLIMETER_LORA_W,POINT (434720.284293391 4243689.04842032),EPSG:5258,434720.284293391,4243689.04842032,38.32367078481654,38.25348193943338,261,E4,RYA_MER_60_MULTIPOLYGON [1 adet],inside,0,high,,insert,,261
12207,640009387,455007,44797221,POLIMETER_LORA_W,POINT (443142.244490465 4246670.24085668),EPSG:5258,443142.244490465,4246670.24085668,38.35109939513945,38.3495465656385,2891,A9,RYA_MER_27_MULTIPOLYGON [1 adet],inside,0,high,,insert,,2891
12209,640040945,468747,44797084,POLIMETER_LORA_W,POINT (434720.284293391 4243689.04842032),EPSG:5258,434720.284293391,4243689.04842032,38.32367078481654,38.25348193943338,261,E4,RYA_MER_60_MULTIPOLYGON [1 adet],inside,0,high,,insert,,261
12210,640016432,469336,44797081,POLIMETER_LORA_W,POINT (438895.450018113 4248191.4152923),EPSG:5258,438895.450018113,4248191.4152923,38.364522695857985,38.30083463441213,2373,B2,RYA_MER_18_MULTIPOLYGON [1 adet],inside,0,high,,insert,,2373
12213,640031724,462457,44797204,POLIMETER_LORA_W,POINT (434676.309927319 4243674.31707731),EPSG:5258,434676.309927319,4243674.31707731,38.32353488273173,38.252980464054296,262,E5,RYA_MER_60_MULTIPOLYGON [1 adet],inside,0,high,,insert,,262
12215,640018827,464431,44797090,POLIMETER_LORA_W,POINT (438753.008653463 4248177.06979589),EPSG:5258,438753.008653463,4248177.06979589,38.364383740898155,38.299206162467435,2374,B3,RYA_MER_18_MULTIPOLYGON [1 adet],inside,0,high,,insert,,2374
12216,640038952,468906,44797262,POLIMETER_LORA_W,POINT (434676.309927319 4243674.31707731),EPSG:5258,434676.309927319,4243674.31707731,38.32353488273173,38.252980464054296,262,E5,RYA_MER_60_MULTIPOLYGON [1 adet],inside,0,high,,insert,,262
